Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_H2_z1,Demand_H2_z2,Demand_H2_z3,Demand_NG_z1,Demand_NG_z2,Demand_NG_z3,Demand_Gasoline_z1,Demand_Gasoline_z2,Demand_Gasoline_z3,Demand_JetFuel_z1,Demand_JetFuel_z2,Demand_JetFuel_z3,Demand_Diesel_z1,Demand_Diesel_z2,Demand_Diesel_z3,Demand_Zero
83,153714.8085,128597.0691,74842.80613,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
84,152612.2775,126912.2488,74108.65488,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
85,150795.5728,125234.5676,73142.6664,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
86,149227.0131,123014.3171,72196.49307,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
87,152917.9197,126324.8054,74489.10573,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
88,162132.577,133555.6624,79402.27177,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
89,175485.0039,145027.1264,87441.27746,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
90,172328.719,136053.3167,82253.67162,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
91,152971.3819,121658.9139,73877.80841,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
92,140041.6087,117627.3797,71467.29561,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
93,129281.5923,105994.7767,61886.67137,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
94,118233.0819,98200.95317,56888.3002,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
95,108487.8378,92423.40665,53438.48287,14771.25,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
