time,MA_battery_discharge_edge,MA_battery_charge_edge,CT_battery_discharge_edge,CT_battery_charge_edge,ME_battery_discharge_edge,ME_battery_charge_edge,MA_natural_gas_combined_cycle_elec_edge,MA_natural_gas_combined_cycle_fuel_edge,MA_natural_gas_combined_cycle_co2_edge,CT_natural_gas_combined_cycle_elec_edge,CT_natural_gas_combined_cycle_fuel_edge,CT_natural_gas_combined_cycle_co2_edge,ME_natural_gas_combined_cycle_elec_edge,ME_natural_gas_combined_cycle_fuel_edge,ME_natural_gas_combined_cycle_co2_edge,MA_to_CT_transmission_edge,MA_to_ME_transmission_edge,MA_solar_pv_edge,CT_onshore_wind_edge,CT_solar_pv_edge,ME_onshore_wind_edge
8242,0.0,0.0,0.0,0.0,0.0,887.8318508463968,326.0918510010089,710.0708915452165,128.55708175286352,5686.62671092171,11866.090717006091,2148.3347825643223,-0.0,-0.0,-0.0,-5833.112407719314,-4000.0,381.19245977174876,3081.536372858126,31.949323939479015,6304.831850846396
8243,0.0,365.94073329663803,0.0,135.367233187907,0.0,887.8318508463968,326.0918510010088,710.0708915452163,128.5570817528635,1968.92123730097,4108.481038782016,743.833241260469,-0.0,-0.0,-0.0,-5900.0,-4000.0,791.068708595629,6938.961686044342,126.484309842595,6319.831850846396
8244,0.0,447.7817912076963,0.0,0.0,0.0,170.72469056623504,326.0918510010088,710.0708915452163,128.5570817528635,1968.9212373009705,4108.481038782017,743.8332412604692,0.0,-0.0,-0.0,-5496.953618861047,-4000.0,1286.996324575904,6274.124804128924,256.9075774311532,5604.724690566235
8245,0.0,0.0,0.0,0.0,-0.0,0.0,402.15119767420947,875.6914918049241,158.5423991360501,2468.821008287838,5151.604903506257,932.6889760222393,0.0,-0.0,-0.0,-5262.298684293235,-3467.6774622340527,1487.7828479408251,5582.995380257652,205.48229574774516,4896.677462234053
8246,0.0,0.0,0.0,0.0,0.0,-8.948356028693246e-14,1117.0866602061376,2678.8373005447233,484.99876554483194,3566.925975408589,7442.983223033376,1347.5389768568798,0.0,-0.0,-0.0,-5841.30094417411,-2848.388224455103,794.0880548116429,5140.203644838247,125.17132392727395,4276.388224455103
8247,686.7765714879775,0.0,638.6439972464012,0.0,885.7132660918161,0.0,3103.0185005726053,7920.917133597623,1434.0680678877309,5825.210761245473,12155.269345508923,2200.6900629007955,0.0,-0.0,-0.0,-4986.874130675365,1.9984014443252818e-14,1669.6984574556598,1216.3559637684848,272.66340841500585,530.2867339081839
8248,0.0,280.76380605918854,0.0,0.0,0.0,0.0,3103.0185005726053,6756.878794791084,1223.3209809880414,5825.210761245472,12155.269345508921,2200.6900629007955,-0.0,-0.0,-0.0,-5862.166469920145,-1918.5670182518552,55.85790499625625,3048.9709692381816,0.9847394364907914,3357.567018251855
8249,758.0674078136211,0.0,0.0,0.0,0.0,0.0,3103.0185005726034,6756.8787947910805,1223.3209809880407,3648.7348525846346,7613.69102704009,1378.445323500362,0.0,-0.0,-0.0,-5900.0,-1673.4074233815809,-0.0,5487.265147415365,-0.0,3218.407423381581
8250,758.4613151276599,0.0,0.0,0.0,0.0,0.0,3103.018500572601,6756.878794791076,1223.32098098804,3200.4131822563986,6678.193432253833,1209.0751349677346,0.0,-0.0,-0.0,-5900.0,-2149.367971865483,-0.0,6068.586817743601,-0.0,3757.367971865483
8251,870.9198332228243,0.0,167.74891109439977,0.0,73.9144857574415,0.0,3103.018500572601,6756.878794791076,1223.32098098804,5825.210761245473,12155.269345508923,2200.6900629007955,0.0,-0.0,-0.0,-5900.0,-1887.7680081074122,-0.0,3235.0403276601273,-0.0,3402.8535223499707
