elec_demand_MA,elec_demand_CT,elec_demand_ME
14209.5022,4058.520532,1937.65939
14261.65452,4073.230161,1944.345586
14333.86543,4093.288747,1953.706259
14339.21439,4094.625986,1955.043498
14200.14152,4055.846053,1936.322151
13966.12469,3988.984101,1904.228414
13847.11041,3954.215885,1888.181545
13722.74718,3918.110431,1870.797438
13816.35391,3944.855212,1882.832589
14720.32752,4204.279588,2007.195821
15750.00159,4497.134942,2146.268683
15633.66179,4465.041204,2131.559053
15245.86246,4354.050363,2079.40673
14673.52415,4190.907198,2000.509626
13706.70031,3914.098714,1869.460199
12432.31149,3550.369691,1694.281883
11323.74032,3233.444035,1543.173869
10620.35257,3034.195415,1448.229896
10268.6587,2932.565247,1400.08929
10106.85278,2885.76188,1377.356227
10152.3189,2899.134271,1384.042422
10470.5818,2990.066527,1426.834072
11517.63998,3288.270836,1569.91865
13360.3554,3816.480263,1822.656832
14337.87715,4094.625986,1955.043498
14339.21439,4094.625986,1955.043498
14253.63109,4070.555683,1943.008347
14202.816,4055.846053,1936.322151
14089.15068,4023.752316,1920.275283
13891.2393,3966.251037,1893.530502
13811.00496,3944.855212,1882.832589
13679.95553,3906.075279,1864.111242
13772.22503,3932.82006,1877.483633
14662.82624,4186.895481,1999.172387
15754.01331,4499.80942,2147.605922
15695.17479,4482.425312,2139.582488
15308.7127,4372.771709,2086.092926
14721.66475,4204.279588,2007.195821
13713.38651,3916.773192,1869.460199
12402.89223,3542.346256,1691.607404
11248.85493,3212.04821,1532.475957
10486.62867,2994.078244,1429.50855
10068.07284,2875.063968,1372.00727
9870.161464,2818.899928,1345.262489
9866.149747,2817.562689,1343.92525
10172.37749,2904.483227,1386.7169
11128.50341,3177.279994,1517.766327
12848.19284,3669.383967,1751.783162
14036.99836,4009.042686,1913.589088
14367.29641,4102.64942,1957.717976
14601.31324,4170.848612,1991.148953
14807.24805,4228.349891,2017.893734
14859.40038,4243.059521,2025.917168
14800.56186,4227.012652,2017.893734
14735.03715,4208.291306,2008.53306
14539.80024,4152.127265,1981.788279
14505.03203,4142.766592,1977.776562
15196.38462,4340.677972,2072.720535
15981.34394,4563.996894,2179.699659
15819.53802,4517.193527,2156.966595
15350.16711,4383.469622,2092.779121
14705.61789,4198.930632,2004.521343
13671.9321,3904.73804,1862.774003
12370.7985,3532.985583,1686.258448
11239.49426,3209.373732,1532.475957
10445.17426,2983.380331,1424.159593
10046.67702,2868.377773,1369.332792
9856.789073,2814.88821,1342.588011
9820.683619,2805.527537,1338.576294
10085.45695,2880.412924,1374.681748
10988.09331,3138.500062,1497.707741
12705.10826,3627.929556,1731.724576
13827.05183,3948.866929,1884.169828
14045.02179,4011.717165,1914.926327
14105.19755,4027.764033,1922.949761
14123.9189,4033.112989,1925.624239
14062.4059,4015.728882,1917.600805
13934.03095,3979.623427,1900.216697
13877.86691,3963.576559,1892.193263
13825.71459,3948.866929,1884.169828
14026.30045,4005.030969,1912.251848
