Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_H2_z1,Demand_H2_z2,Demand_H2_z3,Demand_Zero
149,115122,88470,28045,31937.18,30440.74,15988.28,0
150,118692,91252,28906,31937.18,30440.74,15988.28,0
151,124938,95311,30696,31937.18,30440.74,15988.28,0
152,132228,99813,32639,31937.18,30440.74,15988.28,0
153,140672,104032,35063,31937.18,30440.74,15988.28,0
154,146677,107495,36945,31937.18,30440.74,15988.28,0
155,148695,108565,37997,31937.18,30440.74,15988.28,0
156,147366,108148,38187,31937.18,30440.74,15988.28,0
157,144969,107217,38000,31937.18,30440.74,15988.28,0
158,141946,105923,37655,31937.18,30440.74,15988.28,0
159,139464,104840,37270,31937.18,30440.74,15988.28,0
160,138560,105055,37205,31937.18,30440.74,15988.28,0
161,140291,107181,38271,31937.18,30440.74,15988.28,0
162,146429,111827,40763,31937.18,30440.74,15988.28,0
163,159574,117853,41780,31937.18,30440.74,15988.28,0
164,166162,118431,40736,31937.18,30440.74,15988.28,0
165,166934,117105,39343,31937.18,30440.74,15988.28,0
166,166061,114746,37737,31937.18,30440.74,15988.28,0
167,163105,111060,35692,31937.18,30440.74,15988.28,0
168,158618,106890,33520,31937.18,30440.74,15988.28,0
169,98450,73093,26418,31937.18,30440.74,15988.28,0
170,94578,72099,25692,31937.18,30440.74,15988.28,0
171,92906,72233,25270,31937.18,30440.74,15988.28,0
172,93391,74173,25407,31937.18,30440.74,15988.28,0
173,97290,80006,26643,31937.18,30440.74,15988.28,0
174,106997,89954,29629,31937.18,30440.74,15988.28,0
175,118107,95665,33362,31937.18,30440.74,15988.28,0
176,123775,97932,35913,31937.18,30440.74,15988.28,0
177,125935,98601,37085,31937.18,30440.74,15988.28,0
178,127896,99065,37683,31937.18,30440.74,15988.28,0
179,129235,98937,38129,31937.18,30440.74,15988.28,0
180,129644,98319,38296,31937.18,30440.74,15988.28,0
181,129767,97645,38246,31937.18,30440.74,15988.28,0
182,129430,96642,38128,31937.18,30440.74,15988.28,0
183,128945,95807,37830,31937.18,30440.74,15988.28,0
184,128939,95931,37769,31937.18,30440.74,15988.28,0
185,129394,96600,38043,31937.18,30440.74,15988.28,0
186,129742,96809,38238,31937.18,30440.74,15988.28,0
187,129708,97549,38266,31937.18,30440.74,15988.28,0
188,132634,100465,38688,31937.18,30440.74,15988.28,0
189,134250,98899,37870,31937.18,30440.74,15988.28,0
190,129683,92542,35067,31937.18,30440.74,15988.28,0
191,120314,85410,31705,31937.18,30440.74,15988.28,0
192,110828,80001,28905,31937.18,30440.74,15988.28,0
193,104288,77369,27167,31937.18,30440.74,15988.28,0
194,101123,76183,26166,31937.18,30440.74,15988.28,0
195,100000,75997,25679,31937.18,30440.74,15988.28,0
196,100823,77975,25797,31937.18,30440.74,15988.28,0
197,105170,83755,27083,31937.18,30440.74,15988.28,0
198,115849,92882,29908,31937.18,30440.74,15988.28,0
199,126259,97218,33344,31937.18,30440.74,15988.28,0
200,130276,97447,35495,31937.18,30440.74,15988.28,0
201,129158,96429,36367,31937.18,30440.74,15988.28,0
202,127820,96046,36825,31937.18,30440.74,15988.28,0
203,127031,95344,37112,31937.18,30440.74,15988.28,0
204,125824,94806,37068,31937.18,30440.74,15988.28,0
205,125468,94211,37024,31937.18,30440.74,15988.28,0
206,124944,93419,36934,31937.18,30440.74,15988.28,0
207,124613,92314,36678,31937.18,30440.74,15988.28,0
208,125207,91608,36635,31937.18,30440.74,15988.28,0
209,126200,91494,36756,31937.18,30440.74,15988.28,0
210,126585,90980,36835,31937.18,30440.74,15988.28,0
211,126754,91978,37018,31937.18,30440.74,15988.28,0
212,129130,96428,37990,31937.18,30440.74,15988.28,0
213,130876,95171,37787,31937.18,30440.74,15988.28,0
214,126837,88980,35177,31937.18,30440.74,15988.28,0
215,116285,82359,31832,31937.18,30440.74,15988.28,0
216,106214,77445,28981,31937.18,30440.74,15988.28,0
217,99890,74942,27181,31937.18,30440.74,15988.28,0
218,95985,73525,26080,31937.18,30440.74,15988.28,0
219,94381,73486,25684,31937.18,30440.74,15988.28,0
220,94490,75387,25797,31937.18,30440.74,15988.28,0
221,98204,81162,27119,31937.18,30440.74,15988.28,0
222,107501,90548,29958,31937.18,30440.74,15988.28,0
223,118046,94886,33378,31937.18,30440.74,15988.28,0
224,122470,95394,35419,31937.18,30440.74,15988.28,0
225,123410,94865,36144,31937.18,30440.74,15988.28,0
226,124555,94536,36537,31937.18,30440.74,15988.28,0
227,126078,94201,36691,31937.18,30440.74,15988.28,0
228,127504,93642,36686,31937.18,30440.74,15988.28,0
229,128960,93386,36601,31937.18,30440.74,15988.28,0
230,130641,92865,36503,31937.18,30440.74,15988.28,0
231,133209,91936,36176,31937.18,30440.74,15988.28,0
232,136016,91778,36141,31937.18,30440.74,15988.28,0
233,138659,91647,36375,31937.18,30440.74,15988.28,0
234,139910,91150,36413,31937.18,30440.74,15988.28,0
235,139453,92087,36706,31937.18,30440.74,15988.28,0
236,139501,95694,37410,31937.18,30440.74,15988.28,0
237,139378,93425,36872,31937.18,30440.74,15988.28,0
238,133747,86760,34479,31937.18,30440.74,15988.28,0
239,122391,79714,31221,31937.18,30440.74,15988.28,0
240,110751,74621,28493,31937.18,30440.74,15988.28,0
241,102361,71657,26846,31937.18,30440.74,15988.28,0
242,97141,70391,25916,31937.18,30440.74,15988.28,0
243,94603,70004,25570,31937.18,30440.74,15988.28,0
244,93867,71173,25762,31937.18,30440.74,15988.28,0
245,96596,76181,27067,31937.18,30440.74,15988.28,0
246,104565,85133,29958,31937.18,30440.74,15988.28,0
247,114347,90797,33472,31937.18,30440.74,15988.28,0
248,119765,93122,35550,31937.18,30440.74,15988.28,0
249,123571,94822,36367,31937.18,30440.74,15988.28,0
250,127860,95519,36725,31937.18,30440.74,15988.28,0
251,131665,95603,36895,31937.18,30440.74,15988.28,0
252,135488,95315,36922,31937.18,30440.74,15988.28,0
253,139739,95205,36946,31937.18,30440.74,15988.28,0
254,143685,94343,36990,31937.18,30440.74,15988.28,0
255,147565,93378,36822,31937.18,30440.74,15988.28,0
256,151699,93268,36909,31937.18,30440.74,15988.28,0
257,153952,93063,37467,31937.18,30440.74,15988.28,0
258,154420,92796,38014,31937.18,30440.74,15988.28,0
259,152151,93074,38279,31937.18,30440.74,15988.28,0
260,150208,95415,38233,31937.18,30440.74,15988.28,0
261,148743,93692,37093,31937.18,30440.74,15988.28,0
262,142242,87403,34447,31937.18,30440.74,15988.28,0
263,130186,80356,31192,31937.18,30440.74,15988.28,0
264,117750,75253,28444,31937.18,30440.74,15988.28,0
265,107914,72180,26742,31937.18,30440.74,15988.28,0
266,101574,70710,25773,31937.18,30440.74,15988.28,0
267,97994,70375,25333,31937.18,30440.74,15988.28,0
268,96671,71881,25412,31937.18,30440.74,15988.28,0
269,98860,77097,26597,31937.18,30440.74,15988.28,0
270,106413,85713,29348,31937.18,30440.74,15988.28,0
271,115298,91058,32884,31937.18,30440.74,15988.28,0
272,120997,93199,35263,31937.18,30440.74,15988.28,0
273,125393,94046,36388,31937.18,30440.74,15988.28,0
274,131566,94442,36936,31937.18,30440.74,15988.28,0
275,136037,93745,37163,31937.18,30440.74,15988.28,0
276,140985,92763,37102,31937.18,30440.74,15988.28,0
277,145554,92214,36855,31937.18,30440.74,15988.28,0
278,149947,91167,36618,31937.18,30440.74,15988.28,0
279,154010,89861,36196,31937.18,30440.74,15988.28,0
280,156899,89128,35945,31937.18,30440.74,15988.28,0
281,158370,88544,35943,31937.18,30440.74,15988.28,0
282,157166,87807,35873,31937.18,30440.74,15988.28,0
283,153192,87954,36039,31937.18,30440.74,15988.28,0
284,148763,91330,36676,31937.18,30440.74,15988.28,0
285,145859,91023,36498,31937.18,30440.74,15988.28,0
286,139757,86443,34633,31937.18,30440.74,15988.28,0
287,129354,80705,31959,31937.18,30440.74,15988.28,0
288,118818,75924,29353,31937.18,30440.74,15988.28,0
289,109280,73136,27610,31937.18,30440.74,15988.28,0
290,103028,71600,26587,31937.18,30440.74,15988.28,0
291,98768,71011,26098,31937.18,30440.74,15988.28,0
292,96641,71473,26000,31937.18,30440.74,15988.28,0
293,96438,73553,26503,31937.18,30440.74,15988.28,0
294,98072,76187,27277,31937.18,30440.74,15988.28,0
295,101100,79707,28791,31937.18,30440.74,15988.28,0
296,105593,83809,30957,31937.18,30440.74,15988.28,0
297,113925,87009,32673,31937.18,30440.74,15988.28,0
298,122137,88306,33469,31937.18,30440.74,15988.28,0
299,128746,87985,33537,31937.18,30440.74,15988.28,0
300,134201,87307,33235,31937.18,30440.74,15988.28,0
301,138696,86113,32780,31937.18,30440.74,15988.28,0
302,142638,84477,32243,31937.18,30440.74,15988.28,0
303,145861,83515,31754,31937.18,30440.74,15988.28,0
304,148478,83472,31645,31937.18,30440.74,15988.28,0
305,150369,84539,32069,31937.18,30440.74,15988.28,0
306,150372,85177,32693,31937.18,30440.74,15988.28,0
307,147745,86381,33278,31937.18,30440.74,15988.28,0
308,144571,88480,33940,31937.18,30440.74,15988.28,0
309,141708,87319,33985,31937.18,30440.74,15988.28,0
